institution_name,pays,type_financement
3M,United States,1
A-T Children's Project,United States,1
A. Alfred Taubman Medical Research Institute,United States,0
A.B. de Lautour Charitable Trust,New Zealand,1
A.G. Leventis Foundation,Cyprus,1
A.H. Schultz-Stiftung zur Förderung Primatologischer Forschung,Switzerland,1
A.L. Mailman Family Foundation,United States,1
A.P. Giannini Foundation,United States,1
A.P. Møller og Hustru Chastine Mc-Kinney Møllers Fond til almene Formaal,Denmark,1
A.T. Still University,United States,1
AAIR Charity,Australia,1
ABB,Switzerland,1
ACADIA Pharmaceuticals,United States,1
ACG Institute for Clinical Research and Education,United States,1
ACT Government,Australia,0
ACT-X,Japan,2
ADA Foundation,United States,1
ADC Foundation,United States,1
AFA Försäkring,Sweden,1
AFM-Téléthon,France,2
AGE-WELL,Canada,2
AGER foundation,Italy,1
AIDS Fondet,Denmark,1
AIDS Healthcare Foundation,United States,1
AIM Photonics,United States,2
AKL Research and Development,United Kingdom,1
ALS Association,United States,1
ALS Hope Foundation,United States,1
ALS Society of Canada,Canada,1
ALS Therapy Alliance,United States,1
AO Foundation,Switzerland,1
AO North America,United States,1
AOP Orphan,Austria,1
APIS-GENE,France,2
ARC Centre for Nanoscale BioPhotonics,Australia,0
ARC Centre of Excellence for All-Sky Astrophysics,Australia,0
ARC Centre of Excellence for Children and Families over the Life Course,Australia,0
ARC Centre of Excellence in Cognition and its Disorders,Australia,0
ARC Training Centre in Lightweight Automotive Structures,Australia,0
ARUP Laboratories,United States,1
ARVO Foundation for Eye Research,United States,1
ASCLS Education and Research Fund,United States,1
ASCRS Research Foundation,United States,1
ASML,Netherlands,1
ASTRON,Netherlands,0
AUTO21 Network of Centres of Excellence,Canada,2
AXA Research Fund,France,1
AZTI-Tecnalia,Spain,2
Aage V. Jensens Fonde,Denmark,1
Aage og Johanne Louis-Hansens Fond,Denmark,1
Aalborg Universitetshospital,Denmark,0
Aalto-Yliopisto,Finland,0
"Aard- en Levenswetenschappen, Nederlandse Organisatie voor Wetenschappelijk Onderzoek",Netherlands,0
"Aarhus Institute of Advanced Studies, Aarhus Universitet",Denmark,0
Aarhus Universitet,Denmark,0
Aarhus Universitetsfond,Denmark,0
Aarhus Universitetshospital,Denmark,0
Aarne Koskelon Säätiö,Finland,1
Aarne ja Aili Turusen Säätiö,Finland,1
AbbVie,United States,1
AbbVie Biotherapeutics,United States,1
AbbVie Canada,Canada,1
AbbVie Deutschland,Germany,1
Abbott Diabetes Care,United States,1
Abbott Diagnostics,United States,1
Abbott Fund,United States,1
Abbott Laboratories,United States,1
Abbott Medical Optics,United States,1
Abbott Molecular,United States,1
Abbott Nutrition,United States,1
Abbott Vascular,United States,1
Abdus Salam International Centre for Theoretical Physics,Italy,0
Abertay University,United Kingdom,0
Aberystwyth University,United Kingdom,0
Abilene Christian University,United States,1
Abiomed,United States,1
Ablynx,Belgium,1
Abraham J. and Phyllis Katz Foundation,United States,1
Abramson Cancer Center,United States,0
Abramson Family Cancer Research Institute,United States,0
Abu Dhabi National Oil Company,United Arab Emirates,1
Academia Brasileira de Ciências,Brazil,0
Academia Româna,Romania,0
Academia Sinica,Taiwan,0
